Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00023.dat -6.4545 6.5594 -6.6745 5.5279 -3.3302 3.4608 341.0 310.0 1.314 8.7 1.366 30 1.0142 14.0734 9.3874 6.2310 6.2310 6.0286
AZ0.5-anm-00067.dat -5.8142 5.7435 -6.4267 6.8981 -3.6176 3.6761 339.0 302.0 1.283 8.7 1.342 26 1.0408 14.1933 10.0426 5.7673 5.7673 5.9846
AZ0.5-anm-00071.dat -4.5275 5.2467 -7.0781 6.6439 -3.9315 3.4500 339.0 287.0 1.221 8.7 1.293 30 0.9565 14.1409 8.6317 7.4009 7.4009 4.9286
AZ0.5-anm-00218.dat -4.4312 4.4080 -6.1588 6.2276 -4.1263 4.0651 366.0 296.0 1.197 8.9 1.188 30 1.0114 12.6409 9.0892 7.4642 7.4642 5.8408
AZ0.5-anm-00117.dat -3.9092 5.2165 -5.0394 6.9817 -4.1096 5.6483 363.0 309.0 1.255 8.9 1.220 30 1.0412 12.3696 10.8489 7.9426 7.9426 5.8736
AZ0.5-anm-00260.dat -5.7771 7.3705 -5.9866 4.5988 -3.0122 3.5810 367.0 323.0 1.302 8.9 1.313 28 0.9903 13.9757 11.8902 6.5901 2.1207 1.8042
AZ0.5-anm-00144.dat -4.4501 4.3588 -6.9560 6.0051 -5.2623 4.0940 366.0 291.0 1.176 8.9 1.329 30 0.9904 14.3773 9.3031 6.4629 6.4629 6.2310
AZ0.5-anm-00020.dat -6.7586 5.5329 -7.5842 6.8616 -4.9509 3.5690 363.0 344.0 1.397 8.9 2.013 22 1.0149 17.7134 8.4525 7.2285 7.2285 5.7673
AZ0.5-anm-00108.dat -4.8768 6.0615 -5.4951 4.1117 -3.5005 3.4657 364.0 278.0 1.127 8.9 1.112 30 1.0047 11.0577 9.9452 7.0426 7.0426 7.4009
AZ0.5-anm-00157.dat -3.9110 4.1776 -5.6069 7.6385 -5.6635 4.1445 377.0 310.0 1.229 9.0 1.203 30 1.0482 13.2331 9.7664 7.0884 7.0884 6.4629
AZ0.5-anm-00207.dat -4.0968 4.4926 -5.0969 5.3155 -4.9997 6.3710 381.0 300.0 1.181 9.0 1.152 30 1.0116 12.6081 9.5103 9.0477 9.0477 7.2285
AZ0.5-anm-00062.dat -5.0271 6.3301 -6.7258 6.2315 -4.0889 3.7267 386.0 322.0 1.256 9.0 1.367 30 1.0268 15.2032 9.1110 6.6987 6.6987 7.0426
AZ0.5-anm-00121.dat -5.9143 5.1769 -6.1434 6.1704 -5.5877 5.6970 377.0 345.0 1.367 9.0 1.616 24 1.0144 14.9013 10.9689 4.8886 4.8886 7.4642
AZ0.5-anm-00226.dat -7.8870 7.2925 -7.2493 5.0664 -3.9717 3.0494 386.0 373.0 1.454 9.0 1.517 28 0.9850 15.8823 11.6629 6.0456 6.0456 7.9426
AZ0.5-anm-00116.dat -7.4799 7.0114 -3.4844 4.0053 -6.3249 7.0711 379.0 359.0 1.418 9.0 1.618 30 0.9879 15.6331 13.2749 4.7070 4.7070 2.1207
AZ0.5-anm-00092.dat -5.9274 6.3399 -5.5589 5.4086 -4.7059 4.2733 381.0 326.0 1.283 9.0 1.422 28 0.9574 14.0157 12.3563 5.7990 5.7990 6.4629
AZ0.5-anm-00215.dat -3.1553 3.6414 -7.0412 10.0148 -4.4446 5.4123 381.0 362.0 1.425 9.0 1.760 26 0.9817 17.2870 10.8992 4.8955 4.8955 7.2285
AZ0.5-anm-00040.dat -5.1644 5.8097 -5.5240 4.9352 -4.4952 4.5350 379.0 286.0 1.129 9.0 1.222 30 1.0029 12.8992 9.5096 6.4054 6.4054 7.0426
AZ0.5-anm-00006.dat -6.0757 5.5205 -6.2030 5.4212 -6.1149 7.5925 399.0 349.0 1.332 9.1 1.430 30 1.0066 15.1985 13.4974 6.8778 6.8778 4.7070
