Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00187.dat -7.4225 7.7287 -7.7305 5.2504 -6.1355 4.5655 931.0 556.0 1.206 12.1 1.167 30 1.0186 18.47378 14.07962 12.70061 12.70061 10.84548
IN-coarse-anm-00099.dat -8.5075 11.2052 -8.5654 5.4223 -4.3456 8.0084 948.0 613.0 1.314 12.2 1.442 30 0.9612 22.07031 13.62389 7.75342 7.75342 10.57392
IN-coarse-anm-00032.dat -9.5104 10.5933 -8.2860 8.1450 -5.1319 5.6653 960.0 622.0 1.321 12.2 1.646 28 0.9674 24.14999 11.86634 7.08988 7.08988 12.70061
IN-coarse-anm-00076.dat -10.7375 9.4829 -7.0868 8.1126 -4.6357 4.5383 1027.0 637.0 1.294 12.5 1.394 30 1.0296 21.08785 13.49358 8.06283 8.06283 7.08988
IN-coarse-anm-00048.dat -7.7416 8.1562 -8.0894 8.2188 -5.7718 5.4403 1042.0 631.0 1.269 12.6 1.222 30 1.0284 17.23923 16.42799 8.78017 8.78017 8.06283
IN-coarse-anm-00134.dat -9.0435 8.7490 -6.2450 8.2319 -5.5985 6.3854 1051.0 639.0 1.278 12.6 1.272 30 1.0014 18.09624 16.89156 9.61426 9.61426 8.06283
IN-coarse-anm-00112.dat -8.7371 10.0365 -9.4988 8.9714 -6.4763 3.0705 1121.0 716.0 1.372 12.9 1.371 24 0.9672 20.62880 18.43670 9.56325 9.56325 9.61426
IN-coarse-anm-00025.dat -6.8920 5.6137 -9.2835 7.5933 -6.6718 5.2579 1156.0 624.0 1.171 13.0 1.148 28 1.0166 17.78730 14.01316 11.33944 11.33944 9.56325
IN-coarse-anm-00130.dat -7.5568 7.7270 -9.0104 7.1548 -6.3961 7.7702 1140.0 661.0 1.253 13.0 1.186 16 1.0043 17.76232 15.35695 11.59589 11.59589 9.56325
IN-coarse-anm-00201.dat -7.3745 7.8851 -5.7972 6.4523 -6.5738 6.6018 1142.0 579.0 1.096 13.0 1.056 30 0.9775 16.05253 13.11979 11.75495 11.75495 9.56325
IN-coarse-anm-00174.dat -8.2715 6.6166 -5.1877 5.2501 -9.0322 8.8020 1143.0 628.0 1.188 13.0 1.250 20 1.0232 18.72965 15.14141 9.21781 9.21781 9.56325
IN-coarse-anm-00005.dat -7.6765 6.8730 -8.4840 9.7897 -6.0012 7.1231 1173.0 667.0 1.240 13.1 1.177 30 0.9884 20.87573 14.36940 13.66700 13.66700 9.21781
IN-coarse-anm-00069.dat -11.6205 9.0188 -8.1317 8.2594 -6.4192 8.0720 1204.0 716.0 1.308 13.2 1.419 18 0.9517 20.69152 20.23741 8.27394 8.27394 13.66700
IN-coarse-anm-00043.dat -7.1476 6.6677 -8.8042 6.7147 -7.7465 7.7093 1243.0 679.0 1.215 13.3 1.188 24 1.0173 18.49964 15.88494 12.63822 12.63822 8.27394
IN-coarse-anm-00001.dat -7.7219 8.0175 -9.9316 7.3400 -9.4246 9.2115 1273.0 740.0 1.303 13.4 1.457 28 1.0316 21.93728 17.30184 9.27181 9.27181 12.63822
IN-coarse-anm-00162.dat -8.4005 10.7706 -10.4052 11.3081 -5.7668 6.8790 1297.0 824.0 1.433 13.5 1.704 26 1.0164 24.03385 17.92556 6.85163 6.85163 9.27181
IN-coarse-anm-00202.dat -6.8375 7.3996 -9.5375 8.3166 -8.6448 8.4677 1359.0 769.0 1.296 13.7 1.492 20 1.0131 21.55027 18.39754 6.87572 6.87572 6.85163
IN-coarse-anm-00084.dat -7.0793 6.9971 -10.2838 9.2369 -6.0727 7.1427 1334.0 708.0 1.208 13.7 1.190 30 0.9564 20.37173 14.48444 12.40049 12.40049 6.85163
IN-coarse-anm-00049.dat -9.2947 9.3231 -7.4437 7.4954 -6.3523 6.7458 1377.0 752.0 1.256 13.8 1.231 30 1.0098 21.07526 15.83986 10.64062 10.64062 6.87572
IN-coarse-anm-00012.dat -9.4919 9.7925 -8.1940 7.5994 -5.9008 5.9201 1384.0 756.0 1.259 13.8 1.241 30 0.9941 20.23311 16.13794 9.40071 9.40071 12.40049
IN-coarse-anm-00186.dat -8.8083 10.2417 -6.5142 8.1684 -5.6246 6.7075 1406.0 745.0 1.227 13.9 1.191 30 1.0040 19.32634 15.57152 11.76774 11.76774 9.40071
