Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-02221.dat            7.65        2.37       0.185       -2.62       0.879       0.868       0.447        0.78       0.984       0.847       0.832       0.992
cement152-anm-02236.dat            4.37       -1.74        2.19        2.76        0.72       0.681       0.403        0.84       0.982        0.89       0.869       0.989
cement152-anm-02246.dat            5.78       0.167        3.97        2.92       0.796       0.744        0.49       0.517       0.901       0.644       0.577        0.95
cement152-anm-02267.dat            5.51        2.04       -1.04        2.39       0.817       0.782       0.396       0.607       0.939       0.717       0.668       0.968
cement152-anm-02283.dat            5.88       0.463       -3.01       -3.36       0.794       0.746       0.466       0.518        0.91       0.645       0.592       0.961
cement152-anm-02301.dat            5.67         1.1        1.43       0.541       0.699       0.612       0.469       0.435       0.836       0.574       0.461       0.897
cement152-anm-02326.dat            8.22      0.0534       -1.27       -1.12       0.858       0.841       0.412       0.783       0.981        0.85       0.831        0.99
cement152-anm-02341.dat            4.54        0.37       -3.78       -3.15         0.7       0.609       0.485       0.367       0.799       0.512       0.414       0.902
cement152-anm-02348.dat            5.78        4.03       -1.31       -6.87       0.718       0.625       0.501       0.457       0.859       0.593       0.499        0.92
cement152-anm-02378.dat            7.73        1.45       -1.12       -2.13       0.776       0.733       0.489       0.544       0.916       0.666       0.608       0.958
cement152-anm-02389.dat            5.95      -0.503       -7.07      -0.928       0.713       0.643       0.509       0.345       0.788       0.492        0.41       0.918
cement152-anm-02400.dat            6.87      -0.547        1.43       -1.05       0.824       0.807       0.403       0.857       0.988       0.902       0.888       0.993
cement152-anm-02413.dat            4.32      -0.903       -2.87       -2.64       0.764       0.715       0.403       0.516        0.91       0.643       0.593       0.963
cement152-anm-02432.dat            11.8       -2.07        3.92        3.05       0.817       0.788        0.48       0.799       0.983       0.861       0.843       0.991
cement152-anm-02452.dat            4.94       0.231       0.139        -5.8       0.736       0.643       0.491       0.453       0.829       0.589       0.452       0.874
cement152-anm-02469.dat            8.03      -0.297        1.57       0.965       0.846       0.821       0.442       0.701       0.953       0.789        0.74        0.97
cement152-anm-02488.dat             4.9      -0.522       0.255       -9.15       0.651       0.545       0.522       0.262       0.688       0.409       0.303       0.865
cement152-anm-02495.dat            6.37       -2.36        1.55       -2.78       0.793       0.761       0.432       0.574       0.936       0.691        0.65       0.972
cement152-anm-02517.dat            4.29       0.391       0.507       -3.12       0.818       0.788        0.38       0.644       0.952       0.746       0.706       0.975
cement152-anm-02527.dat            6.71       -1.11        1.09       -1.45       0.756       0.713       0.454       0.506       0.897       0.635       0.569       0.949
cement152-anm-02544.dat            7.57       0.277        1.32        3.28       0.819       0.791       0.477       0.645       0.955       0.746       0.711       0.978
cement152-anm-02556.dat            4.89        -3.1        4.44       0.709       0.692       0.592        0.42       0.478       0.875       0.611       0.527       0.932
cement152-anm-02569.dat            3.42      -0.231       -1.79      -0.939       0.739       0.682       0.422       0.496       0.883       0.627       0.544       0.934
cement152-anm-02580.dat            4.86        1.75       0.568        3.53       0.741       0.676        0.49       0.357       0.799       0.503       0.424       0.922
cement152-anm-02593.dat             5.5        5.91       -2.32       -1.25       0.755       0.685       0.483       0.458       0.872       0.594       0.523       0.942
cement152-anm-02607.dat            4.12      -0.906      0.0591        3.78        0.71       0.663       0.418       0.567        0.93       0.685       0.639       0.968
cement152-anm-02630.dat            6.29      -0.171      -0.906        0.41       0.799       0.772       0.441        0.67       0.967       0.766       0.741       0.985
cement152-anm-02645.dat            4.16      -0.977       0.558        3.78       0.794       0.747       0.428       0.534       0.905       0.658       0.587       0.948
cement152-anm-02660.dat            4.82       0.577       0.682       0.364       0.745        0.69       0.454       0.503         0.9       0.633       0.573       0.955
cement152-anm-02672.dat            3.91      -0.656        2.62       -2.51       0.762       0.688       0.508       0.424       0.842       0.564       0.473       0.918
cement152-anm-02687.dat            3.98       -4.51        1.52        1.43       0.701       0.608       0.492       0.332       0.766        0.48       0.375       0.887
cement152-anm-02695.dat            6.05          -1        1.26       -2.76       0.809       0.771       0.454        0.53       0.912       0.655       0.598       0.958
cement152-anm-02699.dat            6.34       -4.04       -8.92       -3.99        0.71       0.584       0.464       0.439       0.845       0.578       0.475       0.909
cement152-anm-02701.dat            6.54      -0.877      -0.174       0.147       0.876       0.868       0.397       0.837       0.987       0.888       0.875       0.993
cement152-anm-02702.dat            4.87        1.69       -2.41       -3.83       0.761       0.697       0.476       0.392        0.83       0.536       0.463       0.933
cement152-anm-02704.dat            4.92        1.64      -0.764        4.97       0.699       0.622        0.49        0.35       0.779       0.497       0.386       0.884
cement152-anm-02705.dat             4.7      -0.674       0.277       -3.28       0.749       0.695       0.467       0.587       0.935       0.701       0.653       0.968
cement152-anm-02708.dat            6.75     -0.0801     -0.0457           6       0.718       0.645       0.499        0.39       0.826       0.534       0.456       0.928
cement152-anm-02710.dat            5.53       -2.13        2.68        2.51       0.799       0.738       0.532       0.423       0.843       0.564       0.474        0.92
cement152-anm-02711.dat            5.96       0.651      0.0714        -6.2       0.819       0.762       0.495       0.584       0.929       0.699       0.644       0.962
cement152-anm-02712.dat            3.42       -1.54       -1.01       -7.11       0.669       0.563        0.44       0.339       0.768       0.486       0.372       0.877
cement152-anm-02713.dat            4.52       -2.18       -2.13        2.38        0.77       0.714       0.468        0.44       0.864       0.578       0.511       0.943
cement152-anm-02714.dat            3.77       -1.53        2.52        -2.3       0.727       0.666       0.405       0.521       0.907       0.647       0.587       0.955
cement152-anm-02715.dat            7.96       0.382      -0.761     -0.0555       0.846        0.83        0.44       0.732       0.976       0.812       0.791       0.988
cement152-anm-02718.dat            8.28       0.043       -1.02        1.13       0.893       0.889       0.405       0.843       0.993       0.892       0.886       0.997
cement152-anm-02720.dat            4.41      -0.968      -0.945       -7.81       0.752       0.633       0.441       0.554        0.86       0.674       0.533       0.889
cement152-anm-02724.dat               4        1.43      -0.938       -2.63       0.799       0.767       0.414       0.576       0.936       0.692       0.651       0.972
cement152-anm-02726.dat            6.11      -0.018       -1.28      -0.167       0.865       0.839       0.445       0.679       0.949       0.773       0.722       0.969
cement152-anm-02730.dat            6.34        2.02      -0.947       -1.35        0.83       0.787       0.497       0.579       0.922       0.695       0.631       0.955
